patient_id,split
P01027,validation
P01028,train
P01029,train
P01030,train
P01031,train
P01032,train
P01033,train
P01034,train
P01035,train
P01036,train
P01037,train
P01038,train
P01039,train
P01040,test
P01041,train
P01042,train
P01043,train
P01044,test
P01045,train
P01046,train
P01047,train
P01048,test
P01049,train
P01050,train
P01051,test
P01052,train
P01053,train
P01054,train
P01055,validation
P01056,train
P01057,train
P01058,train
P01059,train
P01060,train
P01061,train
P01062,train
P01063,train
P01064,train
P01065,train
P01066,validation
P01067,train
P01068,train
P01069,train
P01070,train
P01071,train
P01072,train
P01073,train
P01074,train
P01075,train
P01076,validation
P01077,train
P01078,train
P01079,train
P01080,train
P01081,train
P01082,train
P01083,validation
P01084,train
P01085,validation
P01086,train
P01087,train
P01088,train
P01089,train
P01090,test
P01091,train
P01092,train
P01093,train
P01094,train
P01095,train
P01096,train
P01097,test
P01098,train
P01099,train
P01100,test
P01101,test
P01102,train
P01103,train
P01104,train
P01105,train
P01106,train
P01107,train
P01108,train
P01109,validation
P01110,train
P01111,validation
P01112,train
P01113,validation
P01114,train
P01115,validation
P01116,train
P01117,train
P01118,train
P01119,train
P01120,train
P01121,validation
P01122,train
P01123,train
P01124,validation
P01125,train
P01126,test
P01127,validation
P01128,train
P01129,train
P01130,test
P01131,train
P01132,validation
P01133,train
P01134,train
P01135,test
P01136,train
P01137,train
P01138,train
P01139,train
P01140,train
P01141,train
P01142,train
P01143,validation
P01144,test
P01145,train
P01146,train
P01147,train
P01148,train
P01149,train
P01150,train
P01151,validation
P01152,train
P01153,train
P01154,train
P01155,validation
P01156,train
P01157,train
P01158,train
P01159,train
P01160,test
P01161,train
P01162,train
P01163,train
P01164,train
P01165,train
P01166,train
P01167,test
P01168,train
P01169,train
P01170,test
P01171,train
P01172,train
P01173,validation
P01174,train
P01175,train
P01176,train
P01177,train
P01178,validation
P01179,train
P01180,train
P01181,test
P01182,test
P01183,train
P01184,train
P01185,train
P01186,train
P01187,train
P01188,train
P01189,train
P01190,train
P01191,train
P01192,test
P01193,test
P01194,train
P01195,train
P01196,train
P01197,train
P01198,train
P01199,test
P01200,train
P01201,train
P01202,train
P01203,validation
P01204,train
P01205,train
P01206,train
P01207,validation
P01208,test
P01209,train
P01210,test
P01211,train
P01212,train
P01213,train
P01214,train
P01215,validation
P01216,train
P01217,train
P01218,test
P01219,train
P01220,train
P01221,train
P01222,train
P01223,validation
P01224,train
P01225,train
P01226,train
P01227,train
P01228,train
P01229,train
P01230,train
P01231,train
P01232,train
P01233,train
P01234,test
P01235,train
P01236,train
P01237,train
P01238,train
P01239,train
P01240,train
P01241,validation
P01242,train
P01243,train
P01244,test
P01245,train
P01246,train
P01247,train
P01248,train
P01249,train
P01250,test
P01251,train
P01252,train
P01253,train
P01254,train
P01255,validation
P01256,train
P01257,train
P01258,test
P01259,test
P01260,validation
P01261,train
P01262,train
P01263,train
P01264,train
P01265,train
P01266,test
P01267,train
P01268,train
P01269,train
P01270,train
P01271,train
P01272,train
P01273,train
P01274,train
P01275,train
P01276,train
P01277,train
P01278,train
P01279,validation
P01280,validation
P01281,train
P01282,train
P01283,train
P01284,train
P01285,validation
P01286,validation
P01287,test
P01288,train
P01289,train
P01290,validation
P01291,train
P01292,train
P01293,train
P01294,validation
P01295,train
P01296,train
P01297,validation
P01298,train
P01299,test
P01300,train
P01301,train
P01302,train
P01303,train
P01304,train
P01305,train
P01306,train
P01307,train
P01308,train
P01309,train
P01310,train
P01311,train
P01312,train
P01313,train
P01314,train
P01315,train
P01316,train
P01317,train
P01318,train
P01319,train
P01320,train
P01321,train
P01322,train
P01323,train
P01324,train
P01325,test
P01326,train
P01327,validation
P01328,validation
P01329,validation
P01330,train
P01331,train
P01332,train
P01333,train
P01334,validation
P01335,train
P01336,train
P01337,test
P01338,test
P01339,train
P01340,train
P01341,train
P01342,test
P01343,validation
P01344,train
P01345,validation
P01346,train
P01347,train
P01348,test
P01349,train
P01350,train
P01351,test
P01352,train
P01353,train
P01354,train
P01355,train
P01356,train
P01357,train
P01358,train
P01359,train
P01360,train
P01361,train
P01362,validation
P01363,train
P01364,train
P01365,train
P01366,validation
P01367,train
P01368,train
P01369,train
P01370,validation
P01371,train
P01372,train
P01373,train
P01374,train
P01375,train
P01376,train
P01377,train
P01378,validation
P01379,validation
P01380,train
P01381,train
P01382,train
P01383,train
P01384,train
P01385,validation
P01386,train
P01387,test
P01388,train
P01389,train
P01390,train
P01391,test
P01392,train
P01393,train
P01394,validation
P01395,train
P01396,validation
P01397,train
P01398,train
P01399,train
P01400,train
P01401,train
P01402,test
P01403,train
P01404,train
P01405,train
P01406,train
P01407,train
P01408,train
P01409,train
P01410,train
P01411,test
P01412,validation
P01413,validation
P01414,train
P01415,validation
P01416,train
P01417,train
P01418,train
P01419,train
P01420,train
P01421,train
P01422,train
P01423,train
P01424,train
P01425,train
P01426,train
P01427,train
P01428,train
P01429,train
P01430,train
P01431,train
P01432,test
P01433,train
P01434,train
P01435,train
P01436,test
P01437,train
P01438,train
P01439,train
P01440,train
P01441,train
P01442,train
P01443,train
P01444,test
P01445,train
P01446,train
P01447,train
P01448,train
P01449,train
P01450,train
P01451,train
P01452,train
P01453,train
P01454,train
P01455,train
P01456,train
P01457,train
P01458,train
P01459,train
P01460,validation
P01461,train
P01462,train
P01463,train
P01464,test
P01465,train
P01466,train
P01467,train
P01468,train
P01469,train
P01470,train
P01471,train
P01472,train
P01473,train
P01474,train
P01475,train
P01476,train
P01477,train
P01478,train
P01479,validation
P01480,validation
P01481,train
P01482,validation
P01483,train
P01484,test
P01485,train
P01486,train
P01487,train
P01488,train
P01489,train
P01490,train
P01491,train
P01492,test
P01493,train
P01494,train
P01495,train
P01496,train
P01497,train
P01498,train
P01499,train
P01500,train
P01501,train
P01502,train
P01503,train
P01504,train
P01505,train
P01506,train
P01507,test
P01508,train
P01509,validation
P01510,train
P01511,train
P01512,train
P01513,train
P01514,train
P01515,train
P01516,test
P01517,train
P01518,train
P01519,validation
P01520,train
P01521,train
P01522,validation
P01523,train
P01524,train
P01525,validation
P01526,train
P01527,train
P01528,train
P01529,train
P01530,train
P01531,train
P01532,train
P01533,train
P01534,train
P01535,train
P01536,train
P01537,train
P01538,test
P01539,train
P01540,train
P01541,test
P01542,test
P01543,train
P01544,test
P01545,train
P01546,train
P01547,validation
P01548,validation
P01549,test
P01550,test
P01551,train
P01552,train
P01553,train
P01554,train
P01555,train
P01556,train
P01557,train
P01558,validation
P01559,train
P01560,train
P01561,train
P01562,train
P01563,validation
P01564,train
P01565,train
P01566,train
P01567,train
P01568,train
P01569,test
P01570,train
P01571,train
P01572,train
P01573,train
P01574,train
P01575,train
P01576,train
P01577,validation
P01578,test
P01579,train
P01580,train
P01581,test
P01582,train
P01583,train
P01584,train
P01585,train
P01586,train
P01587,test
P01588,train
P01589,train
P01590,train
P01591,train
P01592,test
P01593,train
P01594,train
P01595,train
P01596,train
P01597,validation
P01598,train
P01599,train
P01600,validation
P01601,train
P01602,train
P01603,train
P01604,train
P01605,test
P01606,train
P01607,train
P01608,train
P01609,train
P01610,test
P01611,train
P01612,train
P01613,train
P01614,test
P01615,test
P01616,train
P01617,train
P01618,train
P01619,test
P01620,train
P01621,validation
P01622,train
P01623,train
P01624,train
P01625,train
P01626,train
P01627,train
P01628,train
P01629,train
P01630,train
P01631,train
P01632,test
P01633,train
P01634,train
P01635,test
P01636,train
P01637,train
P01638,train
P01639,train
P01640,train
P01641,train
P01642,train
P01643,train
P01644,validation
P01645,train
P01646,train
P01647,train
P01648,validation
P01649,train
P01650,train
P01651,train
P01652,train
P01653,train
P01654,train
P01655,train
P01656,test
P01657,train
P01658,test
P01659,train
P01660,train
P01661,train
P01662,train
P01663,validation
P01664,test
P01665,test
P01666,train
P01667,train
P01668,train
P01669,train
P01670,train
P01671,test
P01672,train
P01673,train
P01674,train
P01675,train
P01676,train
P01677,train
P01678,train
P01679,test
P01680,train
P01681,validation
P01682,train
P01683,train
P01684,train
P01685,test
P01686,test
P01687,train
P01688,train
P01689,validation
P01690,train
P01691,validation
P01692,test
P01693,train
P01694,train
P01695,train
P01696,train
P01697,train
P01698,train
P01699,train
P01700,train
P01701,validation
P01702,train
P01703,train
P01704,train
P01705,train
P01706,train
P01707,train
P01708,validation
P01709,test
P01710,train
P01711,train
P01712,train
P01713,train
P01714,train
P01715,train
P01716,train
P01717,train
P01718,validation
P01719,validation
P01720,train
P01721,train
P01722,train
P01723,test
P01724,train
P01725,train
P01726,train
P01727,train
P01728,train
P01729,train
P01730,train
P01731,train
P01732,train
P01733,train
P01734,test
P01735,train
P01736,train
P01737,train
P01738,train
P01739,validation
P01740,train
P01741,train
P01742,train
P01743,train
P01744,validation
P01745,train
P01746,train
P01747,validation
P01748,train
P01749,train
P01750,validation
P01751,train
P01752,train
P01753,train
P01754,train
P01755,test
P01756,train
P01757,train
P01758,train
P01759,train
P01760,train
P01761,train
P01762,validation
P01763,train
P01764,train
P01765,train
P01766,test
P01767,train
P01768,train
P01769,train
P01770,train
P01771,train
P01772,train
P01773,train
P01774,validation
P01775,train
P01776,train
P01777,train
P01778,train
P01779,train
P01780,validation
P01781,train
P01782,train
P01783,validation
P01784,train
P01785,test
P01786,train
P01787,train
P01788,train
P01789,train
P01790,train
P01791,train
P01792,train
P01793,train
P01794,train
P01795,train
P01796,train
P01797,train
P01798,train
P01799,validation
P01800,train
P01801,train
P01802,test
P01803,train
P01804,test
P01805,train
P01806,test
P01807,train
P01808,train
P01809,train
P01810,validation
P01811,train
P01812,train
P01813,validation
P01814,train
P01815,train
P01816,train
P01817,validation
P01818,train
P01819,train
P01820,train
P01821,train
P01822,train
P01823,train
P01824,train
P01825,train
P01826,train
P01827,train
P01828,test
P01829,train
P01830,test
P01831,train
P01832,validation
P01833,train
P01834,train
P01835,test
P01836,train
P01837,train
P01838,test
P01839,train
P01840,train
P01841,train
P01842,train
P01843,train
P01844,train
P01845,train
P01846,train
P01847,train
P01848,train
P01849,train
P01850,train
P01851,test
P01852,test
P01853,train
P01854,test
P01855,train
P01856,train
P01857,train
P01858,train
P01859,train
P01860,train
P01861,train
P01862,train
P01863,train
P01864,train
P01865,train
P01866,train
P01867,train
P01868,train
P01869,train
P01870,train
P01871,train
P01872,train
P01873,train
P01874,train
P01875,train
P01876,validation
P01877,train
P01878,train
P01879,train
P01880,train
P01881,train
P01882,train
P01883,train
P01884,test
P01885,train
P01886,train
P01887,train
P01888,train
P01889,train
P01890,train
P01891,train
P01892,train
P01893,train
P01894,train
P01895,train
P01896,test
P01897,train
P01898,train
P01899,train
P01900,train
P01901,train
P01902,validation
P01903,train
P01904,train
P01905,train
P01906,train
P01907,train
P01908,train
P01909,train
P01910,test
P01911,train
P01912,train
P01913,validation
P01914,train
P01915,test
P01916,train
P01917,train
P01918,test
P01919,train
P01920,train
P01921,validation
P01922,train
P01923,train
P01924,train
P01925,train
P01926,train
P01927,train
P01928,train
P01929,train
P01930,train
P01931,train
P01932,validation
P01933,test
P01934,train
P01935,train
P01936,train
P01937,train
P01938,validation
P01939,train
P01940,train
P01941,train
P01942,validation
P01943,train
P01944,train
P01945,validation
P01946,train
P01947,train
P01948,train
P01949,train
P01950,train
P01951,validation
P01952,train
P01953,validation
P01954,train
P01955,train
P01956,train
P01957,train
P01958,train
P01959,train
P01960,train
P01961,train
P01962,test
P01963,train
P01964,train
P01965,train
P01966,train
P01967,train
P01968,test
P01969,train
P01970,train
P01971,train
P01972,train
P01973,test
P01974,train
P01975,train
P01976,train
P01977,train
P01978,train
P01979,train
P01980,train
P01981,train
P01982,train
P01983,train
P01984,train
P01985,train
P01986,train
P01987,train
P01988,train
P01989,train
P01990,train
P01991,train
P01992,train
P01993,validation
P01994,train
P01995,validation
P01996,train
P01997,train
P01998,train
P01999,train
P02000,train
P02001,validation
P02002,train
P02003,train
P02004,train
P02005,train
P02006,train
P02007,train
P02008,train
P02009,train
P02010,validation
P02011,train
P02012,train
P02013,train
P02014,train
P02015,train
P02016,train
P02017,train
P02018,validation
P02019,train
P02020,train
P02021,train
P02022,train
P02023,train
P02024,train
P02025,train
P02026,train
P02027,test
P02028,train
P02029,test
P02030,train
P02031,train
P02032,train
P02033,train
P02034,train
P02035,train
P02036,train
P02037,train
P02038,train
P02039,train
P02040,train
P02041,train
P02042,train
P02043,train
P02044,train
P02045,train
P02046,train
P02047,train
P02048,validation
P02049,train
P02050,train
P02051,train
P02052,train
P02053,train
P02054,test
P02055,train
P02056,train
P02057,train
P02058,test
P02059,train
P02060,train
P02061,train
P02062,train
P02063,train
P02064,test
P02065,train
P02066,train
P02067,validation
P02068,train
P02069,train
P02070,train
P02071,validation
P02072,train
P02073,validation
P02074,train
P02075,train
P02076,train
P02077,train
P02078,train
P02079,train
P02080,train
P02081,train
P02082,train
P02083,train
P02084,train
P02085,validation
P02086,train
P02087,validation
P02088,train
P02089,train
P02090,train
P02091,train
P02092,test
P02093,train
P02094,train
P02095,train
P02096,train
P02097,train
P02098,test
P02099,train
P02100,train
P02101,train
P02102,train
P02103,train
P02104,train
P02105,test
P02106,train
P02107,train
P02108,train
P02109,train
P02110,train
P02111,validation
P02112,train
P02113,train
P02114,train
P02115,validation
P02116,train
P02117,train
P02118,test
P02119,train
P02120,test
P02121,validation
P02122,train
P02123,train
P02124,train
P02125,test
P02126,train
P02127,test
P02128,train
P02129,train
P02130,train
P02131,train
P02132,train
P02133,train
P02134,train
P02135,train
P02136,train
P02137,test
P02138,train
P02139,train
P02140,train
P02141,train
P02142,train
P02143,train
P02144,train
P02145,train
P02146,train
P02147,test
P02148,train
P02149,train
P02150,train
P02151,train
P02152,train
P02153,validation
P02154,train
P02155,train
P02156,train
P02157,train
P02158,train
P02159,train
P02160,train
P02161,train
P02162,train
P02163,train
P02164,validation
P02165,test
P02166,train
P02167,train
P02168,train
P02169,validation
P02170,train
P02171,train
P02172,train
P02173,train
P02174,train
P02175,train
P02176,train
P02177,train
P02178,train
P02179,train
P02180,test
P02181,train
P02182,train
P02183,train
P02184,train
P02185,train
P02186,train
P02187,train
P02188,train
P02189,test
P02190,train
P02191,train
P02192,train
P02193,train
P02194,validation
P02195,test
P02196,validation
P02197,validation
P02198,train
P02199,test
P02200,train
P02201,train
P02202,train
P02203,train
P02204,test
P02205,train
P02206,train
P02207,train
P02208,train
P02209,train
P02210,train
P02211,test
P02212,train
P02213,train
P02214,train
P02215,test
P02216,test
P02217,train
P02218,test
P02219,train
P02220,train
P02221,train
P02222,test
P02223,train
P02224,train
P02225,test
P02226,train
P02227,test
P02228,train
P02229,train
P02230,train
P02231,train
P02232,test
P02233,train
P02234,train
P02235,train
P02236,train
P02237,train
P02238,test
P02239,train
P02240,train
P02241,train
P02242,test
P02243,train
P02244,train
P02245,test
P02246,test
P02247,train
P02248,train
P02249,train
P02250,train
P02251,train
P02252,train
P02253,train
P02254,validation
P02255,train
P02256,train
P02257,train
P02258,train
P02259,train
P02260,train
P02261,train
P02262,train
P02263,train
P02264,train
P02265,train
P02266,train
P02267,test
P02268,train
P02269,train
P02270,train
P02271,train
P02272,train
P02273,train
P02274,validation
P02275,train
P02276,validation
P02277,train
P02278,validation
P02279,train
P02280,train
P02281,train
P02282,test
P02283,train
P02284,train
P02285,train
P02286,validation
P02287,train
P02288,train
P02289,validation
P02290,train
P02291,validation
P02292,test
P02293,test
P02294,train
P02295,train
