drug_id,drug_name,disease_id,generic_name,disease,drug_class,active_ingredient,description,side_effects,contraindications,warnings,major_interactions,source,language
amlodipine,Amlodipine,hypertension,amlodipine besylate,Hypertension,Calcium Channel Blocker (Dihydropyridine),Amlodipine Besylate,"Amlodipine (brand name Norvasc) relaxes and widens blood vessels by blocking calcium from entering the muscle cells in vessel walls, which lowers blood pressure. It's also used for chest pain (angina) and is one of the most commonly prescribed first-choice blood pressure medicines in India. (Source: FDA label; ICMR Hypertension Guidelines)","Most common: swelling in the ankles/feet, flushing, headache, dizziness, a racing heartbeat, tiredness, drowsiness, nausea. Rare: gum swelling, liver problems, a significant drop in blood pressure. (Source: FDA DailyMed; SIDER)",Avoid if you're allergic to amlodipine or similar calcium-channel blockers. Use with caution if you have severe narrowing of the aortic heart valve. (Source: FDA label),"Blood pressure can drop too much, especially if you have severe aortic valve narrowing. Chest pain or a heart attack can occasionally worsen right when starting this type of medicine, particularly in people with significant blocked heart arteries. Ankle swelling may require a dose change. (Source: FDA DailyMed)","Certain antifungal and antibiotic medicines (ketoconazole, ritonavir, clarithromycin) can raise amlodipine levels significantly — blood pressure should be monitored. Rifampin (an antibiotic) makes it less effective. If you take simvastatin (a cholesterol medicine), your dose should be limited to 20 mg/day. Levels of cyclosporine and tacrolimus (organ transplant medicines) may rise. (Source: FDA label; RxNav)",FDA DailyMed; DrugBank DB00381; RxNorm CUI 17767; ICMR HTN Guidelines,en
losartan,Losartan,hypertension,losartan potassium,Hypertension,Angiotensin II Receptor Blocker (ARB),Losartan Potassium,"Losartan (brand name Cozaar) blocks the action of a hormone (angiotensin II) that narrows blood vessels and raises blood pressure. It also helps protect the kidneys in people with diabetes-related kidney damage, and is often chosen for people who develop a dry cough on ACE-inhibitor blood pressure medicines. (Source: FDA label; DrugBank)","Dizziness, cold-like symptoms, stuffy nose, back pain, tiredness, high potassium levels, and a rise in a kidney blood marker (creatinine). Rare: a swelling allergic reaction (angioedema, less common than with ACE inhibitors), low blood pressure, kidney problems. (Source: FDA DailyMed; SIDER)",Do not use during pregnancy at any stage — it can seriously harm the baby. Avoid combining with aliskiren (another blood pressure medicine) if you have diabetes or reduced kidney function. Avoid if allergic to losartan. (Source: FDA label),"IMPORTANT: Can seriously harm an unborn baby — stop immediately and tell your doctor if you become pregnant. Can cause low blood pressure if you're dehydrated or on a low-salt diet. Kidney function and potassium levels should be checked periodically, especially if you also take NSAID painkillers. (Source: FDA DailyMed boxed warning)",Combining with aliskiren is not recommended if you have diabetes or kidney problems. Potassium supplements or potassium-sparing water pills can push potassium too high. NSAID painkillers reduce its blood-pressure-lowering effect and can strain the kidneys. It can raise lithium levels to a toxic degree. (Source: FDA label; RxNav),FDA DailyMed; DrugBank DB00678; RxNorm CUI 203160,en
enalapril,Enalapril,hypertension,enalapril maleate,Hypertension,ACE Inhibitor,Enalapril Maleate,"Enalapril (brand name Vasotec) is converted by the liver into its active form, which blocks an enzyme (ACE) involved in narrowing blood vessels. This relaxes blood vessels and lowers blood pressure, and it's also used for heart failure. (Source: FDA label; DrugBank)","A dry, persistent cough is very common (about 1 in 5 to 1 in 10 people). Also dizziness, headache, tiredness, high potassium, and a rise in kidney blood markers. Rare but serious: a swelling allergic reaction (angioedema) that can be life-threatening, and low white blood cell counts in people with kidney problems. (Source: FDA DailyMed; SIDER)","Avoid during pregnancy. Do not use if you've ever had swelling reactions (angioedema) from an ACE-inhibitor medicine, or a hereditary swelling condition. Avoid combining with aliskiren if you have diabetes or kidney problems, and don't combine with sacubitril/valsartan without a 36-hour gap between them. (Source: FDA label)","IMPORTANT: Can seriously harm an unborn baby — stop immediately if you become pregnant. Watch for sudden swelling of the face, lips, tongue, or throat (angioedema), which needs emergency care. Blood pressure can drop noticeably after the first dose, especially if you're dehydrated. Kidney function and potassium should be checked regularly. (Source: FDA DailyMed)",Combining with aliskiren is not recommended in diabetes or kidney disease. Potassium-sparing water pills or potassium supplements can raise potassium to dangerous levels. NSAID painkillers reduce its effect and can strain the kidneys. It can raise lithium levels. (Source: FDA label; RxNav),FDA DailyMed; DrugBank DB00584; RxNorm CUI 3827,en
telmisartan,Telmisartan,hypertension,telmisartan,Hypertension,Angiotensin II Receptor Blocker (ARB),Telmisartan,"Telmisartan (brand name Micardis) blocks the hormone that narrows blood vessels, and lasts longer in the body than most similar drugs (about 24 hours), giving steady blood pressure control with one dose a day. It may also modestly help the body respond better to insulin, and is often used in people who cough on ACE-inhibitor medicines. (Source: FDA label; DrugBank)","Cold-like symptoms, back pain, sinus problems, diarrhea, dizziness, high potassium, urinary tract infections. Rare: swelling allergic reaction, low blood pressure, raised liver enzymes. (Source: FDA DailyMed; SIDER)",Avoid during pregnancy. Avoid if allergic to telmisartan. Avoid combining with aliskiren if you have diabetes or reduced kidney function. (Source: FDA label),"IMPORTANT: Can seriously harm an unborn baby — stop immediately if you become pregnant. Blood pressure can drop if you're dehydrated or on a low-salt diet. Can worsen kidney function, especially combined with NSAID painkillers. Potassium levels should be monitored. (Source: FDA DailyMed)",Raises blood levels of digoxin (a heart medicine) — this needs monitoring. Can increase lithium toxicity. Combining with ramipril (another blood-pressure medicine acting on the same system) isn't recommended. NSAID painkillers reduce its effect and add kidney risk. (Source: FDA label; DrugBank),FDA DailyMed; DrugBank DB00966; RxNorm CUI 73494,en
hydrochlorothiazide,Hydrochlorothiazide,hypertension,hydrochlorothiazide,Hypertension,Thiazide Diuretic,Hydrochlorothiazide,"Hydrochlorothiazide (often called HCTZ) is a water pill (diuretic) that makes the kidneys pass out more salt and water, which lowers blood pressure — first by reducing fluid volume, and over time by relaxing blood vessels. It's often combined with other blood pressure medicines. (Source: FDA label; DrugBank)","Can lower potassium, sodium, and magnesium levels, and raise uric acid, blood sugar, and cholesterol. Also sun sensitivity, dizziness, headache, lightheadedness on standing, and reduced sexual function. Rare: pancreas inflammation, blood disorders, severe skin reactions. (Source: FDA DailyMed; SIDER)","Not for people who produce no urine, are allergic to hydrochlorothiazide or sulfa drugs, or have significant kidney failure. (Source: FDA label)","Salt and mineral levels in the blood (especially potassium and sodium) should be checked regularly. Can make diabetes harder to control. Can trigger gout by raising uric acid. Long-term use raises the risk of skin cancer with excess sun exposure, so use sun protection. (Source: FDA DailyMed; EMA)","Significantly raises the risk of lithium toxicity if taken together. NSAID painkillers reduce its water-pill and blood-pressure effects. Can raise blood sugar, working against diabetes medicines. Steroids add to potassium loss. Low potassium from this medicine can make digoxin (a heart medicine) more likely to cause problems. (Source: FDA label; RxNav)",FDA DailyMed; DrugBank DB00999; RxNorm CUI 5487,en
atenolol,Atenolol,hypertension,atenolol,Hypertension,Beta-1 Selective Adrenergic Blocker,Atenolol,"Atenolol (brand name Tenormin) is a beta-blocker that mainly targets receptors in the heart, slowing the heart rate and reducing how hard it pumps, which lowers blood pressure. It's widely used in India and has less effect on the lungs than older beta-blockers. (Source: FDA label; DrugBank)","Slow heart rate, tiredness, dizziness, low mood, cold hands/feet, sleep problems, reduced sexual function, shortness of breath. In people prone to it, can trigger airway tightening (bronchospasm). Can hide the fast heartbeat that normally warns of low blood sugar. (Source: FDA DailyMed; SIDER)","Not for people with a very slow heart rate, significant heart block, cardiogenic shock, or overt heart failure. Avoid if allergic to atenolol. Use cautiously in asthma or COPD despite being more heart-selective than older beta-blockers. (Source: FDA label)","Do not stop this medicine suddenly — this can trigger worsening chest pain, a heart attack, or an abnormal heart rhythm; your doctor will taper it down over 1–2 weeks. In people with diabetes, it can hide the warning signs of low blood sugar. Can worsen poor circulation in the arms/legs. (Source: FDA DailyMed)","Combining with certain blood-pressure medicines (verapamil, diltiazem) can cause a dangerously slow heart rate or heart block. If you're also on clonidine, stopping it while still on this drug can cause a sharp rebound rise in blood pressure. Combined with insulin or diabetes tablets, it can prolong and hide low blood sugar. NSAID painkillers reduce its blood-pressure-lowering effect. (Source: FDA label; RxNav)",FDA DailyMed; DrugBank DB00335; RxNorm CUI 1202,en
ramipril,Ramipril,hypertension,ramipril,Hypertension,ACE Inhibitor,Ramipril,"Ramipril (brand name Altace) is converted by the body into its active form, which blocks the ACE enzyme involved in narrowing blood vessels, lowering blood pressure. Large trials have shown it reduces heart attacks, strokes, and cardiovascular deaths in high-risk patients, and it's widely prescribed in India. (Source: FDA label; DrugBank)","Dry cough (about 1 in 10), dizziness, headache, tiredness, high potassium, and rising kidney blood markers. Rare but serious: a swelling allergic reaction, low blood pressure, low white blood cell counts, kidney failure. (Source: FDA DailyMed; SIDER)","Avoid during pregnancy. Do not use if you've had a swelling reaction to an ACE-inhibitor before, or a hereditary swelling condition. Avoid combining with aliskiren if you have diabetes or an eGFR (kidney function score) below 60. Avoid combining with sacubitril/valsartan without a 36-hour gap. (Source: FDA label)","IMPORTANT: Can seriously harm an unborn baby — stop immediately if you become pregnant. Watch for sudden swelling of the face, lips, tongue, or throat, which can be life-threatening and occurs more often in Black patients. Blood pressure can drop noticeably with the first dose, especially if dehydrated. Kidney function and potassium should be monitored. (Source: FDA DailyMed)",Combining with aliskiren is not recommended in diabetes or kidney disease. Potassium-sparing water pills can cause dangerously high potassium. NSAID painkillers reduce its effect and add kidney strain. It can raise lithium levels. (Source: FDA label; RxNav),FDA DailyMed; DrugBank DB00178; RxNorm CUI 35208,en
chlorthalidone,Chlorthalidone,hypertension,chlorthalidone,Hypertension,Thiazide-like Diuretic,Chlorthalidone,"Chlorthalidone (brand name Hygroton) is a water pill similar to hydrochlorothiazide but longer-acting (its effect lasts 40–60 hours), giving steadier blood pressure control. Large studies have favored it over HCTZ for reducing heart-related events. (Source: FDA label; JNC 8; DrugBank)","Can lower potassium and sodium, raise uric acid and blood sugar, and raise triglycerides (a type of blood fat). Also sun sensitivity, lightheadedness on standing, muscle cramps, reduced sexual function. Rare: pancreas inflammation, severe blood or skin reactions. (Source: FDA DailyMed; SIDER)","Not for people who produce no urine, have significant kidney failure, or are allergic to chlorthalidone or sulfa-related drugs. (Source: FDA label)",Low potassium is the main risk — your doctor may recommend a supplement. Can make blood sugar control harder in diabetics. Can trigger gout attacks by raising uric acid. Watch for unusual sun sensitivity. (Source: FDA DailyMed),Raises the risk of lithium toxicity. Low potassium caused by this medicine can make digoxin (a heart medicine) more likely to cause an irregular heartbeat. NSAID painkillers reduce its diuretic and blood-pressure effects. Steroids and amphotericin B add to potassium loss. (Source: FDA label; DrugBank),FDA DailyMed; DrugBank DB00310; RxNorm CUI 2409,en
carvedilol,Carvedilol,hypertension,carvedilol,Hypertension,Non-selective Beta-blocker with Alpha-1 Blocking Activity,Carvedilol,"Carvedilol (brand name Coreg) is a beta-blocker that also relaxes blood vessels directly, giving it a dual blood-pressure-lowering effect. It's used for high blood pressure, heart failure with a weakened pumping heart, and after a heart attack. (Source: FDA label; DrugBank)","Dizziness, tiredness, low blood pressure, weight gain, slow heart rate, diarrhea, swelling, higher blood sugar in diabetics, blurred vision. Rare: serious liver injury, low platelet counts. (Source: FDA DailyMed; SIDER)","Not for people with asthma or related breathing conditions, significant heart block without a pacemaker, sick sinus syndrome without a pacemaker, decompensated heart failure, severe liver problems, or an allergy to carvedilol. (Source: FDA label)","Do not stop suddenly — your doctor will taper the dose down over 1–2 weeks. Can hide the warning signs of low blood sugar. Tell your anesthesiologist you're taking this before any surgery. Heart failure can temporarily worsen when first starting this medicine, so doses are increased slowly. Stop if signs of liver problems appear. (Source: FDA DailyMed)","Combining with verapamil or diltiazem (other heart/BP medicines) can cause a dangerously slow heart rate — this combination is usually avoided. It raises digoxin levels by about 15%, so monitoring is needed. Combined with insulin or diabetes tablets, it can strengthen and hide low blood sugar. Certain antidepressants (fluoxetine, paroxetine) can raise carvedilol levels. (Source: FDA label; RxNav)",FDA DailyMed; DrugBank DB02703; RxNorm CUI 20352,en
clonidine,Clonidine,hypertension,clonidine hydrochloride,Hypertension,Central Alpha-2 Adrenergic Agonist,Clonidine Hydrochloride,"Clonidine (brand name Catapres) works in the brain to reduce nerve signals that raise heart rate and constrict blood vessels, lowering both. It's used for hard-to-control high blood pressure, sudden severe high blood pressure, and sometimes alongside other blood pressure medicines. (Source: FDA label; DrugBank)","Dry mouth is very common. Also drowsiness, dizziness, constipation, sedation, headache, tiredness, and a sharp rebound rise in blood pressure if stopped suddenly. Rare: heart rhythm changes, liver test changes, low mood. (Source: FDA DailyMed; SIDER)","Avoid if allergic to clonidine. The epidural (spinal injection) form should not be used in people with bleeding disorders or on blood thinners, due to injection-site bleeding risk. (Source: FDA label)","CRITICAL: Do not stop this medicine suddenly — doing so can cause a rapid, severe rise in blood pressure along with nervousness and agitation. It must be tapered off gradually. It can cause drowsiness, so be careful driving or operating machinery. If you're having surgery, this medicine is usually continued through the procedure to avoid a rebound spike. (Source: FDA DailyMed)","If you're on a beta-blocker and stop clonidine abruptly, this can cause a severe rebound rise in blood pressure — clonidine must be tapered off first, then the beta-blocker. Certain antidepressants (tricyclics) can reduce its blood-pressure-lowering effect. Alcohol and sedating medicines add to drowsiness. (Source: FDA label; RxNav)",FDA DailyMed; DrugBank DB00575; RxNorm CUI 2599,en
ibuprofen,Ibuprofen,arthritis,ibuprofen,Arthritis,NSAID (Non-selective COX Inhibitor),Ibuprofen,"Ibuprofen is a common pain and anti-inflammatory medicine (an NSAID) that reduces pain, fever, and swelling by blocking certain body chemicals (prostaglandins). Used for arthritis and general aches and pains. (Source: FDA label; DrugBank)","Stomach-related: nausea, indigestion, stomach pain, and — with regular use — stomach bleeding or ulcers. Heart-related: a higher risk of heart attack and stroke with regular use. Kidney-related: fluid retention, swelling, and rarely sudden kidney injury. Also headache, dizziness, rash. Rare: liver problems, brain lining inflammation, severe skin reactions. (Source: FDA DailyMed; SIDER)","Avoid if you currently have stomach bleeding or an ulcer, or if you're allergic to ibuprofen or aspirin-type medicines (including asthma triggered by these). Not to be used for pain right after heart bypass surgery. Avoid with significant kidney or liver problems, or in the last three months of pregnancy. (Source: FDA label)","IMPORTANT: Regular use raises the risk of heart attack and stroke, and this risk increases with higher doses and longer use — never use it around heart bypass surgery. Can cause serious stomach problems, including bleeding, ulcers, and (rarely) a hole in the stomach wall, sometimes without warning symptoms. Can harm the kidneys. Avoid in late pregnancy, as it can harm the baby. (Source: FDA DailyMed boxed warning)","If you take low-dose aspirin to protect your heart, taking ibuprofen too close to it can block aspirin's protective effect — take aspirin at least 2 hours before ibuprofen. It increases bleeding risk with warfarin (a blood thinner). It can reduce the effect of blood pressure medicines (ACE inhibitors/ARBs) and stress the kidneys. It raises lithium levels. It significantly increases the toxicity risk of methotrexate. (Source: FDA label; RxNav)",FDA DailyMed; DrugBank DB01050; RxNorm CUI 5640,en
